country;first_day;last_day;filter;deaths;source;notes
NL;1995-01-02;1995-01-08;;2719;https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70895ned/table;Previous week straddled two years and was skipped to avoid data inconsistencies (see NL/export-weekly-deaths.py for explanation)
NL;1995-01-09;1995-01-15;;2823;;
NL;1995-01-16;1995-01-22;;2609;;
NL;1995-01-23;1995-01-29;;2664;;
NL;1995-01-30;1995-02-05;;2577;;
NL;1995-02-06;1995-02-12;;2536;;
NL;1995-02-13;1995-02-19;;2551;;
NL;1995-02-20;1995-02-26;;2510;;
NL;1995-02-27;1995-03-05;;2490;;
NL;1995-03-06;1995-03-12;;2770;;
NL;1995-03-13;1995-03-19;;2800;;
NL;1995-03-20;1995-03-26;;2786;;
NL;1995-03-27;1995-04-02;;2634;;
NL;1995-04-03;1995-04-09;;2717;;
NL;1995-04-10;1995-04-16;;2645;;
NL;1995-04-17;1995-04-23;;2691;;
NL;1995-04-24;1995-04-30;;2645;;
NL;1995-05-01;1995-05-07;;2628;;
NL;1995-05-08;1995-05-14;;2486;;
NL;1995-05-15;1995-05-21;;2482;;
NL;1995-05-22;1995-05-28;;2468;;
NL;1995-05-29;1995-06-04;;2485;;
NL;1995-06-05;1995-06-11;;2319;;
NL;1995-06-12;1995-06-18;;2352;;
NL;1995-06-19;1995-06-25;;2498;;
NL;1995-06-26;1995-07-02;;2663;;
NL;1995-07-03;1995-07-09;;2489;;
NL;1995-07-10;1995-07-16;;2808;;
NL;1995-07-17;1995-07-23;;2451;;
NL;1995-07-24;1995-07-30;;2466;;
NL;1995-07-31;1995-08-06;;2744;;
NL;1995-08-07;1995-08-13;;2473;;
NL;1995-08-14;1995-08-20;;2380;;
NL;1995-08-21;1995-08-27;;2427;;
NL;1995-08-28;1995-09-03;;2278;;
NL;1995-09-04;1995-09-10;;2362;;
NL;1995-09-11;1995-09-17;;2348;;
NL;1995-09-18;1995-09-24;;2437;;
NL;1995-09-25;1995-10-01;;2366;;
NL;1995-10-02;1995-10-08;;2525;;
NL;1995-10-09;1995-10-15;;2600;;
NL;1995-10-16;1995-10-22;;2417;;
NL;1995-10-23;1995-10-29;;2455;;
NL;1995-10-30;1995-11-05;;2573;;
NL;1995-11-06;1995-11-12;;2533;;
NL;1995-11-13;1995-11-19;;2691;;
NL;1995-11-20;1995-11-26;;2613;;
NL;1995-11-27;1995-12-03;;2646;;
NL;1995-12-04;1995-12-10;;2826;;
